id	author_id	created_at	retweet_count	like_count	location	author_follower_count	text
1460751979420946432	894849659163648000	Tue Nov 16 23:29:46 +0000 2021	0	1	🥀Regina, Saskatchewan🥀😷💉💉	1795	@PoagueAmy Yeah, I don’t know how they work inside other buildings and stores. I don’t really spend a lot of time in them. Mostly with covid raging I’ve ordered stuff in anyway. But it does seem a challenge. I never had this issue growing up in Ottawa!! The prairies are tough.
1460751430017421317	951984253151170565	Tue Nov 16 23:27:35 +0000 2021	0	1	Carstairs, Alberta	67	@mini_bubbly Got my flu shot yesterday.  Bit sore and feeling a little off but that’s a sign of an immune system revving up.  My COVID booster is in Jan.  Have you considered a shingles vax?
1460751006250246154	21258217	Tue Nov 16 23:25:53 +0000 2021	0	1	Edmonton, AB	226212	Hinshaw urges caution as Alberta comes ‘down the other side of the 4th wave’  #COVID19ab #COVIDab #COVID19canada
1460750102532816897	880233420013486080	Tue Nov 16 23:22:18 +0000 2021	0	0	Calgary, AB	10	@Bob31685906 Hopefully these clowns aren’t listening to the same COVID scientists.  Can someone just make some fries out of little potato already?!
1460749883170643969	129758267	Tue Nov 16 23:21:26 +0000 2021	0	0	YYC	312	@JCraig_Miles @gccarra @InglewoodYYC You’re just sitting here ignoring the fundamental properties of an mRNA vaccine and claiming it’s not preventative because it doesn’t 100% prevent COVID. No vaccine is 100% effective, so are all vaccines therapeutic? The whole premise is based on assumptions. 
1460749622629085189	20812193	Tue Nov 16 23:20:24 +0000 2021	1	3	Edmonton, Alberta, Canada	205056	COVID-19 in Alberta: 321 new cases, 13 deaths Tuesday 
1460749536176259073	16856411	Tue Nov 16 23:20:03 +0000 2021	1	0	Edmonton	14162	“While over the past few weeks we have begun to come down the other side of the fourth wave, we have seen before how fast things can change.”  
1460749417451909124	1292215142	Tue Nov 16 23:19:35 +0000 2021	0	1	Edmonton, Alberta	9005	@HemiHimalayan I had my second Pfizer on Friday, it’s like the AstraZeneca I got in April was the pretend vaccine shot.  Hoping I’m good for a while.
1460749123187929089	1348770554208157696	Tue Nov 16 23:18:25 +0000 2021	0	0	Lethbridge, Alberta	35	The General Manager of People and Culture for the city, Jason Elliott, says over 95 per cent of city employees have reported their vaccination status. Of that group, 96 per cent have been vaccinated or are in the process of being vaccinated. #lethbridge 
1460748822875832326	1408981192943099906	Tue Nov 16 23:17:13 +0000 2021	0	0	Moose Jaw, SK	76	@AdotSad @letsmakeathing You are being intentionally obtuse, so I believe that you are more deserving of that title, amigo. 
1460748585629216768	888500626430115840	Tue Nov 16 23:16:16 +0000 2021	0	0	Edmonton, Alberta	103	&amp; our option is a party that aft 4 yrs w a maj gov left elders in cont/home care incl their caregivers in a desperate state going into #Covid_19   a party that aft 4 yrs w a maj gov allowed cond's in food processing to remain desperate for workers #yeg #yegcc #ableg #abpoli #yyc  
1460748420134719490	22845977	Tue Nov 16 23:15:37 +0000 2021	0	0	Edmonton, AB	1385	"""Both Covid-19 and seasonal influenza can have very similar symptoms""  By reducing the likelihood of the flu there's less of a chance you'll need to stay home or go for COVID-19 testing.   ""Our actions and decisions impact on those around us."" "
1460748242438610948	719523207196246016	Tue Nov 16 23:14:55 +0000 2021	0	0	Calgary AB	371	@Mully1897 @MelissaOviatt @LoganSF13 @wadhawan2011 @DrTomFrieden All i was saying is natural immunity is equal of mot better than the vax. And covid is 10x less deadly than the seasonal flu gor the below 12 age group.
1460748112289484800	79008571	Tue Nov 16 23:14:24 +0000 2021	0	1	Prince Albert, SK, Canada	4233	Saskatchewan health officials reported one new death related to COVID-19 on Tuesday.  The death was reported in the Central East zone. There have now been 897 deaths related to COVID-19 reported in the province.  #COVID19   
1460748082534965256	22845977	Tue Nov 16 23:14:16 +0000 2021	0	0	Edmonton, AB	1385	Hinshaw: 5-11 not included in restriction eligibility to date. They are the age group at the lowest risk of severe infection. It's parents' choice to make, there is a societal benefit to having as many with vaccine protection as possible. Weighing the whole health picture.
1460748080970489859	22845977	Tue Nov 16 23:14:16 +0000 2021	0	0	Edmonton, AB	1385	Lauren Pullen Global Calgary AB health says has no plans to expand vaccine passport or restrictions to kids 11 and under if the vaccine is open to that age range. What is the rationale behind this decision?
1460748079376723975	22845977	Tue Nov 16 23:14:16 +0000 2021	0	0	Edmonton, AB	1385	Those who don't fit into currently eligible spots have better resistance even with breakthrough infection. multiple considerations when looking at vaccine eligibility, don't want to waste vaccine protection.  Need to think about long-term protection, timing isn't fixed.
1460748068945477639	322380725	Tue Nov 16 23:14:13 +0000 2021	0	1	Edmonton, Alberta	42	@lellen49592375 @JedediahBila It was a simple statement that vaccinated people can catch and spread Covid. That's not misinformation, and the speed at which they shut down anything approaching a real discussion isn't helping anyone.
1460748065216745473	22845977	Tue Nov 16 23:14:12 +0000 2021	0	0	Edmonton, AB	1385	Sarah Chu City News Given COVID is an airborne virus, should we encourage ventilation to be installed in businesses and schools?
1460748060426850307	22845977	Tue Nov 16 23:14:11 +0000 2021	0	0	Edmonton, AB	1385	While we know there is some immune response after infection, the vaccine is more effective.  There is a risk we could see a 5th wave. We have the tools to protect against COVID, including masks and vaccines.
1460748057356603392	22845977	Tue Nov 16 23:14:10 +0000 2021	0	0	Edmonton, AB	1385	Questions. Kevin Stanfield CTV Calgary You spoke today about COVID-19 risk this winter, do you forsee a 5th wave?
1460748055695659008	22845977	Tue Nov 16 23:14:10 +0000 2021	0	0	Edmonton, AB	1385	If eligible for a third COVID booster, wait at least six months between doses.  This ensures that protection lasts as long as possible.
